출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
94,7.4,0,1,0,0,0,0,0,0,0,1,0,12,0,0.0,1,1,33.3,1,100.0,0,0.0,3,1,1,3,2,0,0,0,0,0,48,91.0,3,16,84.2,0,0,8,88.9,4,66.7,15,88.2,29,96.7,13,86.7,13,81.2,22,100.0,3,60.0,0,1,0,0,0,1,13,이명재
94,7.2,0,0,1,0,0,1,1,0,0,3,0,0,0,0.0,1,3,50.0,6,100.0,0,0.0,6,7,6,1,2,0,1,0,1,0,53,90.0,0,0,0.0,0,0,20,100.0,5,55.6,23,92.0,25,100.0,23,79.3,30,100.0,0,0.0,0,0.0,0,1,0,0,0,1,44,김기희
94,7.2,0,0,3,2,0,1,1,2,0,1,0,8,0,0.0,1,2,100.0,1,100.0,1,33.3,6,4,4,7,0,1,1,0,0,0,50,85.0,2,15,100.0,0,0,10,66.7,7,77.8,16,76.2,27,93.1,11,57.9,17,94.4,22,100.0,2,28.6,0,1,0,0,0,1,66,설영우
56,6.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,50.0,0,0.0,1,33.3,3,1,1,2,0,1,0,1,0,0,12,92.0,0,1,50.0,0,0,6,100.0,0,0.0,6,85.7,6,100.0,5,100.0,3,75.0,4,100.0,0,0.0,0,1,0,0,0,0,35,장호익
94,6.4,0,0,0,0,0,0,0,0,0,3,0,2,0,0.0,0,2,100.0,1,100.0,0,0.0,4,3,3,2,2,0,0,1,0,0,55,89.0,0,0,0.0,0,0,31,96.9,7,70.0,34,91.9,14,93.3,33,84.6,19,95.0,3,100.0,0,0.0,0,1,0,0,0,0,4,불투이스
95,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,2,66.7,7,100.0,0,0.0,6,9,3,5,1,0,2,1,0,0,74,91.0,0,2,66.7,0,0,12,100.0,11,78.6,35,92.1,28,96.6,37,86.0,25,96.2,12,100.0,0,0.0,0,1,0,0,0,1,4,박진섭
95,7.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,3,75.0,5,100.0,2,50.0,3,6,4,5,3,0,1,1,1,0,93,89.0,0,5,62.5,0,0,26,96.3,10,55.6,56,93.3,27,100.0,54,83.1,26,96.3,13,100.0,0,0.0,0,1,0,0,0,1,2,이용
98,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,66.7,5,45.5,0,0.0,12,4,3,3,2,0,0,0,0,0,16,84.0,0,0,0.0,0,0,6,75.0,1,33.3,11,100.0,4,80.0,4,66.7,11,91.7,1,100.0,0,0.0,0,1,0,0,0,1,2,김영빈
94,6.4,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0,1,2,66.7,0,0.0,2,100.0,0,2,5,2,0,0,0,1,0,0,54,90.0,1,18,94.7,0,0,11,91.7,3,60.0,10,90.9,41,93.2,17,73.9,20,100.0,17,100.0,1,14.3,0,1,0,0,0,0,30,김봉수
98,6.8,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,1,3,100.0,3,60.0,0,0.0,2,1,4,6,2,1,0,0,0,0,38,76.0,0,13,92.9,0,0,1,25.0,1,25.0,9,69.2,28,84.8,10,52.6,16,84.2,12,100.0,1,14.3,1,1,0,0,0,0,22,정우재
96,7.0,1,0,1,1,0,0,1,0,0,3,0,0,0,0.0,1,0,0.0,4,50.0,0,0.0,5,7,1,6,4,1,2,1,1,0,56,84.0,1,1,100.0,0,0,27,81.8,4,40.0,20,83.3,32,97.0,30,73.2,21,100.0,5,100.0,0,0.0,0,1,0,0,0,1,5,잭슨
96,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,33.3,3,100.0,1,33.3,5,6,2,7,3,0,0,1,0,0,52,95.0,2,3,75.0,0,0,14,87.5,5,100.0,18,100.0,29,90.6,20,95.2,24,92.3,8,100.0,0,0.0,1,1,0,0,0,1,14,김건웅
96,6.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,25.0,3,75.0,1,33.3,3,5,3,2,2,0,3,0,1,0,26,84.0,0,0,0.0,0,0,8,88.9,2,50.0,14,82.4,10,100.0,16,80.0,4,80.0,6,100.0,0,0.0,0,1,0,0,0,0,20,박병현
96,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,66.7,8,100.0,1,50.0,7,3,2,2,4,1,2,0,1,0,23,82.0,0,1,50.0,0,0,6,85.7,4,50.0,12,100.0,7,87.5,9,69.2,11,91.7,3,100.0,0,0.0,0,1,0,0,0,0,66,조진우
96,6.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,5,62.5,0,0.0,11,9,1,4,1,0,1,1,0,0,29,78.0,0,0,0.0,0,0,13,76.5,7,63.6,15,83.3,7,87.5,12,63.2,16,94.1,1,100.0,0,0.0,0,1,0,0,0,0,4,정태욱
97,7.4,0,0,0,0,0,0,0,0,0,4,0,1,1,100.0,1,2,66.7,4,66.7,0,0.0,5,1,3,3,1,0,1,0,0,0,106,96.0,1,4,100.0,0,0,30,93.8,4,66.7,46,100.0,56,96.6,47,94.0,54,100.0,5,83.3,1,100.0,0,1,0,0,0,1,5,오스마르
97,6.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0,2,66.7,2,66.7,1,100.0,3,3,4,4,3,0,1,0,0,0,29,83.0,0,0,0.0,0,0,20,87.0,3,42.9,18,100.0,8,80.0,10,66.7,13,92.9,6,100.0,0,0.0,0,1,0,0,0,0,20,이한도
97,6.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,3,100.0,2,100.0,2,66.7,9,3,5,3,2,1,3,0,0,0,28,78.0,0,1,50.0,0,0,10,76.9,2,40.0,16,100.0,10,66.7,8,53.3,14,93.3,6,100.0,0,0.0,0,1,0,0,0,0,35,장호익
98,7.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,1,50.0,6,85.7,0,0.0,11,5,1,6,4,0,1,1,0,0,49,94.0,0,0,0.0,0,0,17,85.0,15,93.8,14,87.5,20,100.0,14,87.5,32,97.0,3,100.0,0,0.0,0,1,0,0,0,1,13,정운
98,6.2,0,0,1,0,0,1,0,1,0,0,0,6,0,0.0,1,1,33.3,1,50.0,0,0.0,0,2,2,3,3,1,3,0,0,0,47,85.0,1,15,79.0,0,0,5,71.4,2,66.7,12,80.0,33,89.2,11,78.6,18,78.3,18,100.0,1,50.0,0,1,0,0,0,0,17,김진야
