출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
56,6.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,0,2,40.0,1,25.0,0,0.0,0,0,0,0,0,0,1,1,1,0,15,83.0,0,4,80.0,0,0,2,66.7,1,50.0,6,85.7,8,88.9,7,87.5,3,60.0,5,100.0,0,0.0,0,0,1,0,0,0,18,오현규
60,6.0,0,0,1,0,1,0,0,1,1,0,0,0,0,0.0,1,1,33.3,0,0.0,0,0.0,1,2,1,4,0,0,3,2,1,0,3,38.0,0,1,20.0,0,0,0,0.0,0,0.0,0,0.0,3,37.5,0,0.0,2,66.7,1,25.0,0,0.0,0,0,1,0,0,0,7,그로닝
60,6.2,0,0,2,0,0,2,1,1,0,0,0,0,0,0.0,1,1,50.0,0,0.0,0,0.0,0,0,0,1,0,0,0,2,0,0,3,60.0,0,1,100.0,0,0,0,0.0,0,0.0,0,0.0,3,75.0,1,50.0,1,100.0,1,50.0,0,0.0,0,0,1,0,0,0,18,오현규
80,7.6,1,0,3,3,0,0,2,1,0,0,0,0,0,0.0,0,0,0.0,4,30.8,0,0.0,0,1,0,2,1,0,0,0,0,0,12,63.0,0,4,50.0,0,0,1,33.3,1,100.0,0,0.0,11,64.7,2,40.0,2,66.7,8,72.7,0,0.0,0,0,1,0,0,1,18,이정협
98,7.4,1,0,1,1,0,0,1,0,0,2,3,0,0,0.0,0,1,100.0,0,0.0,0,0.0,3,3,0,13,1,0,0,0,0,0,24,86.0,1,2,100.0,0,0,10,83.3,2,66.7,8,100.0,14,82.4,8,80.0,6,85.7,10,90.9,1,16.7,0,0,1,0,0,1,17,김대원
45,6.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0.0,1,0,0.0,1,50.0,1,100.0,0,0,0,2,0,0,0,0,0,0,18,86.0,0,8,88.9,0,0,3,100.0,0,0.0,6,85.7,12,85.7,4,57.1,10,100.0,4,100.0,0,0.0,0,0,1,0,0,0,10,조나탄 링
45,6.4,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,1,2,50.0,2,66.7,0,0.0,0,0,0,2,0,2,1,0,0,0,12,71.0,0,7,87.5,0,0,1,33.3,1,100.0,0,0.0,11,78.6,1,33.3,4,57.1,7,100.0,0,0.0,0,0,1,0,0,0,2,진성욱
96,8.2,1,0,5,2,2,1,2,3,0,0,0,0,1,100.0,1,3,60.0,0,0.0,0,0.0,0,0,0,5,1,2,2,2,0,0,29,85.0,1,8,72.7,0,0,1,100.0,2,50.0,10,83.3,17,94.4,7,58.3,10,100.0,12,100.0,0,0.0,2,0,1,0,0,1,11,이승우
47,7.0,0,1,0,0,0,0,0,0,0,0,0,0,1,100.0,1,3,75.0,0,0.0,0,0.0,0,0,0,1,1,0,2,2,0,0,13,81.0,1,4,80.0,0,0,0,0.0,1,100.0,1,100.0,11,78.6,2,100.0,7,87.5,4,66.7,0,0.0,1,0,1,0,0,1,99,이영준
97,6.4,0,0,2,1,0,1,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,2,1,0,3,1,1,0,1,0,0,13,87.0,0,4,100.0,0,0,0,0.0,1,100.0,3,75.0,9,90.0,5,71.4,3,100.0,5,100.0,0,0.0,0,0,1,0,0,0,10,정승원
90,8.0,1,1,1,1,0,0,1,0,0,0,0,0,1,16.7,0,0,0.0,0,0.0,1,50.0,1,2,0,10,1,2,2,1,1,0,14,78.0,2,6,85.7,0,0,4,66.7,2,100.0,5,100.0,7,63.6,2,50.0,8,80.0,4,100.0,1,50.0,1,0,1,0,0,1,11,제르소
97,6.6,0,0,3,0,1,2,3,0,0,0,0,0,0,0.0,1,0,0.0,10,45.5,0,0.0,0,0,0,3,1,0,0,0,0,0,6,40.0,0,2,22.2,0,0,0,0.0,1,100.0,0,0.0,5,41.7,3,37.5,1,20.0,2,100.0,0,0.0,0,0,1,0,0,0,9,라스
97,9.2,3,0,4,3,0,1,4,0,0,0,0,0,0,0.0,1,3,75.0,2,28.6,0,0.0,1,0,0,0,0,1,2,2,0,0,14,93.0,0,1,100.0,0,0,1,100.0,2,100.0,2,100.0,10,90.9,3,75.0,4,100.0,7,100.0,0,0.0,1,0,1,0,0,1,9,무고사
76,7.4,0,1,0,0,0,0,0,0,1,1,0,1,2,100.0,1,0,0.0,1,20.0,1,100.0,0,0,1,1,1,0,1,0,0,0,30,83.0,2,14,87.5,0,0,3,100.0,3,100.0,11,91.7,16,76.2,6,66.7,10,83.3,14,93.3,1,50.0,0,0,1,0,0,1,7,김도혁
85,6.2,0,0,2,0,1,1,2,0,1,0,0,0,0,0.0,0,1,33.3,3,42.9,0,0.0,2,1,0,2,0,1,0,2,0,0,13,72.0,0,4,100.0,0,0,0,0.0,0,0.0,0,0.0,13,81.2,2,33.3,2,66.7,9,100.0,0,0.0,0,0,1,0,0,0,18,이정협
97,6.6,0,0,5,2,0,3,4,1,0,0,0,0,0,0.0,0,1,50.0,2,20.0,1,100.0,0,1,1,3,3,4,1,0,0,0,18,90.0,4,12,92.3,0,0,0,0.0,0,0.0,4,80.0,14,93.3,3,60.0,9,100.0,6,100.0,0,0.0,0,0,1,0,0,0,47,양현준
90,7.2,1,0,4,2,0,2,3,1,0,0,0,0,0,0.0,1,2,66.7,5,62.5,0,0.0,0,0,0,4,3,1,0,1,0,0,12,80.0,1,7,77.8,0,0,1,100.0,1,100.0,5,100.0,6,66.7,3,100.0,5,62.5,4,100.0,0,0.0,0,0,1,0,0,1,8,허용준
79,6.4,0,0,1,0,0,1,1,0,0,3,2,0,0,0.0,0,1,25.0,0,0.0,0,0.0,1,1,2,3,1,4,0,0,0,0,14,82.0,0,4,80.0,0,0,1,100.0,3,100.0,5,83.3,6,75.0,1,50.0,10,83.3,3,100.0,0,0.0,0,0,1,0,0,0,17,김대원
71,6.4,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1,33.3,2,40.0,0,0.0,0,0,0,0,2,1,1,0,0,0,9,60.0,1,6,66.7,0,0,1,33.3,0,0.0,2,50.0,7,70.0,2,66.7,5,55.6,2,66.7,1,50.0,1,0,1,0,0,0,47,양현준
11,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,100.0,0,1,100.0,0,0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0,1,0,0,0,29,변경준
22,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,100.0,1,50.0,0,0.0,0,0,0,1,0,0,1,0,0,0,4,100.0,0,1,100.0,0,0,0,0.0,0,0.0,0,0.0,4,100.0,2,100.0,1,100.0,1,100.0,0,0.0,1,0,1,0,0,0,42,구자철
46,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,66.7,3,60.0,0,0.0,0,1,1,4,0,1,1,1,0,0,4,44.0,0,0,0.0,0,0,0,0.0,0,0.0,1,100.0,3,42.9,0,0.0,2,66.7,2,100.0,0,0.0,1,0,1,0,0,0,25,강재우
96,6.6,0,0,1,0,0,1,1,0,1,0,0,0,0,0.0,0,1,20.0,5,33.3,1,25.0,1,0,1,14,0,2,1,1,1,0,26,70.0,1,7,77.8,0,0,4,100.0,3,75.0,4,57.1,19,73.1,3,33.3,14,73.7,9,100.0,0,0.0,0,0,1,0,0,0,13,김민혁
75,7.4,1,0,2,2,0,0,2,0,0,0,0,0,0,0.0,1,0,0.0,5,62.5,0,0.0,0,1,0,3,0,0,0,0,0,0,15,83.0,0,2,66.7,0,0,2,100.0,2,100.0,3,75.0,10,83.3,1,33.3,10,90.9,4,100.0,0,0.0,0,0,1,0,0,1,18,오현규
61,6.2,0,0,1,0,1,0,0,1,0,0,1,0,0,0.0,0,1,25.0,2,100.0,0,0.0,0,0,0,3,1,0,2,2,0,0,19,90.0,0,5,83.3,0,0,1,100.0,4,100.0,4,80.0,11,91.7,2,66.7,14,93.3,3,100.0,0,0.0,0,0,1,0,0,0,23,구본철
61,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,50.0,0,0.0,0,0.0,1,0,1,3,0,1,0,0,0,0,12,80.0,1,6,75.0,0,0,1,100.0,0,0.0,4,100.0,8,72.7,0,0.0,9,90.0,3,100.0,0,0.0,0,0,1,0,0,0,30,심동운
96,7.4,0,0,1,1,0,0,0,1,0,0,0,2,1,25.0,0,1,25.0,1,50.0,2,33.3,1,1,2,4,5,0,3,2,0,0,22,81.0,0,11,68.8,0,0,0,0.0,1,100.0,4,100.0,17,77.3,6,66.7,10,90.9,6,85.7,0,0.0,0,0,1,0,0,1,11,제르소
96,6.4,0,0,3,1,1,1,0,3,0,0,0,0,0,0.0,1,1,20.0,2,22.2,0,0.0,0,1,0,4,1,2,0,1,0,0,22,92.0,0,11,91.7,0,0,2,100.0,3,100.0,5,100.0,14,87.5,6,85.7,10,100.0,6,85.7,0,0.0,0,0,1,0,0,0,18,오현규
94,8.4,1,0,4,1,1,2,4,0,0,0,0,0,5,71.4,1,1,100.0,2,50.0,1,25.0,0,3,2,8,2,3,2,0,0,0,28,82.0,1,14,87.5,0,0,7,70.0,2,66.7,9,90.0,17,81.0,8,61.5,9,100.0,11,91.7,0,0.0,0,0,1,0,0,1,47,양현준
92,7.6,0,2,2,0,1,1,2,0,0,1,1,0,1,100.0,1,1,100.0,0,0.0,0,0.0,1,1,1,5,3,2,0,1,0,0,30,86.0,5,22,84.6,0,0,0,0.0,2,100.0,8,88.9,20,83.3,8,66.7,11,91.7,11,100.0,4,100.0,0,0,1,0,0,1,17,김대원
63,7.4,1,0,2,2,0,0,2,0,0,0,0,0,0,0.0,1,3,75.0,2,20.0,0,0.0,2,0,1,1,0,1,3,0,0,0,10,77.0,0,4,80.0,0,0,0,0.0,0,0.0,1,33.3,9,90.0,4,66.7,1,50.0,5,100.0,0,0.0,0,0,1,0,0,1,98,발샤
79,7.2,1,0,2,1,0,1,2,0,0,0,0,0,1,50.0,0,2,40.0,0,0.0,3,60.0,1,1,0,4,0,2,1,2,0,0,17,77.0,0,3,100.0,0,0,1,50.0,0,0.0,4,100.0,13,76.5,4,80.0,8,66.7,5,100.0,1,33.3,1,0,1,0,0,1,47,양현준
95,7.0,0,0,2,1,1,0,1,1,0,3,4,0,0,0.0,0,3,60.0,0,0.0,0,0.0,1,1,2,10,0,2,0,1,0,0,23,85.0,1,5,62.5,0,0,6,85.7,3,100.0,11,100.0,9,69.2,2,50.0,14,87.5,7,100.0,1,11.1,0,0,1,0,0,1,17,김대원
91,6.6,0,0,0,0,0,0,0,0,0,1,0,6,2,66.7,1,1,50.0,0,0.0,0,0.0,1,1,0,6,1,0,1,3,0,0,23,77.0,0,12,80.0,0,0,1,50.0,2,50.0,2,66.7,19,82.6,3,60.0,14,73.7,6,100.0,0,0.0,1,0,1,0,0,0,33,김성민
56,6.6,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,1,0,0.0,1,20.0,0,0.0,1,1,0,0,1,2,0,2,0,0,8,67.0,1,5,71.4,0,0,0,0.0,0,0.0,3,60.0,5,71.4,1,100.0,5,62.5,2,66.7,0,0.0,0,0,1,0,0,0,11,이용재
81,6.8,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,1,0,0.0,1,25.0,1,33.3,1,0,0,5,1,2,0,1,0,0,25,81.0,0,6,66.7,0,0,1,100.0,1,50.0,5,62.5,19,90.5,6,100.0,15,75.0,4,80.0,0,0.0,0,0,1,0,0,0,7,김도혁
48,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,66.7,0,0.0,0,0.0,0,1,0,1,0,0,0,0,0,0,7,100.0,0,1,100.0,0,0,3,100.0,1,100.0,1,100.0,5,100.0,1,100.0,3,100.0,3,100.0,0,0.0,1,0,1,0,0,0,40,이준석
30,7.2,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,3,60.0,2,100.0,0,0.0,1,1,0,0,1,2,1,0,0,0,1,50.0,0,1,100.0,0,0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0,1,88,박규민
96,7.6,2,0,3,2,0,1,2,1,0,0,0,0,0,0.0,0,3,75.0,3,27.3,1,33.3,1,1,0,3,1,2,0,0,0,0,26,74.0,0,2,50.0,0,0,3,100.0,1,100.0,11,84.6,14,66.7,4,40.0,9,75.0,13,100.0,0,0.0,1,0,1,0,0,1,18,주민규
79,7.2,0,1,0,0,0,0,0,0,0,0,1,0,1,100.0,0,0,0.0,1,100.0,1,50.0,1,1,2,0,1,3,4,1,0,0,5,83.0,3,3,75.0,0,0,0,0.0,0,0.0,0,0.0,5,83.3,1,100.0,2,66.7,2,100.0,2,50.0,0,0,1,0,0,1,11,제르소
60,6.4,0,0,1,1,0,0,0,1,1,0,0,0,0,0.0,1,0,0.0,1,20.0,0,0.0,0,0,0,2,0,2,0,1,0,0,13,81.0,0,6,85.7,0,0,0,0.0,0,0.0,4,100.0,9,75.0,3,60.0,5,83.3,5,100.0,0,0.0,0,0,1,0,0,0,7,한교원
71,7.4,1,0,2,1,0,1,2,0,0,0,0,0,2,66.7,1,2,100.0,1,50.0,1,50.0,1,0,1,1,3,1,1,1,1,0,4,44.0,0,3,50.0,0,0,0,0.0,0,0.0,0,0.0,4,44.4,2,40.0,0,0.0,2,100.0,0,0.0,0,0,1,0,0,1,17,고재현
94,7.2,0,0,1,0,0,1,0,1,2,3,3,0,0,0.0,1,1,100.0,2,33.3,0,0.0,0,0,1,3,1,1,1,1,0,0,35,80.0,4,13,76.5,0,0,0,0.0,4,57.1,10,83.3,21,84.0,10,55.6,17,94.4,8,100.0,2,33.3,0,0,1,0,0,1,11,세징야
46,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,50.0,1,50.0,0,0.0,0,2,0,2,2,1,1,0,0,0,8,67.0,0,6,60.0,0,0,0,0.0,0,0.0,1,50.0,7,70.0,2,50.0,3,75.0,3,75.0,0,0.0,0,0,1,0,0,0,29,지언학
89,7.8,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,1,3,100.0,2,16.7,1,25.0,4,1,0,3,1,0,2,2,0,0,15,63.0,2,4,57.1,0,0,0,0.0,1,100.0,4,80.0,10,55.6,5,45.4,6,85.7,4,66.7,1,100.0,0,0,1,0,0,1,9,디노
95,7.4,0,0,1,1,0,0,1,0,0,4,4,0,1,33.3,1,1,33.3,1,25.0,0,0.0,2,1,1,6,2,0,2,0,0,0,26,79.0,2,10,66.7,0,0,2,100.0,1,25.0,3,100.0,22,84.6,8,57.1,9,100.0,9,90.0,1,12.5,1,0,1,0,0,1,17,김대원
