출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
95,6.2,0,0,0,0,0,0,0,0,0,6,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,4,0,2,0,0,0,1,0,0,17,55.0,0,0,0.0,0,0,17,56.7,8,36.4,5,100.0,4,100.0,12,46.2,5,100.0,0,0.0,0,0.0,0,0,0,1,0,0,21,양형모
98,7.2,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,8,1,0,0,0,0,1,0,0,8,25.0,0,0,0.0,0,0,8,25.0,8,25.0,0,0.0,0,0.0,8,25.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0,1,1,유상훈
98,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,5,0,2,0,0,0,0,0,0,17,89.0,0,0,0.0,0,0,15,88.2,1,33.3,10,100.0,6,100.0,14,87.5,3,100.0,0,0.0,0,0.0,0,0,0,1,0,0,1,김동준
96,6.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,2,0,0,0,0,0,0,0,0,8,44.0,0,0,0.0,0,0,8,44.4,5,33.3,3,100.0,0,0.0,5,33.3,3,100.0,0,0.0,0,0.0,0,0,0,1,0,0,21,오승훈
97,7.2,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,2,3,0,3,1,0,0,0,0,0,30,88.0,0,0,0.0,0,0,30,90.9,5,55.6,13,100.0,12,100.0,12,80.0,18,94.7,0,0.0,0,0.0,0,0,0,1,0,1,21,양한빈
97,6.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,4,0,3,0,0,0,0,0,0,17,59.0,0,0,0.0,0,0,17,58.6,2,14.3,12,100.0,3,100.0,6,35.3,11,91.7,0,0.0,0,0.0,0,0,0,1,0,0,34,박지민
98,7.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,7,0,2,0,0,0,0,0,0,15,45.0,0,0,0.0,0,0,15,45.4,5,21.7,8,100.0,2,100.0,6,25.0,9,100.0,0,0.0,0,0.0,0,0,0,1,0,1,41,김근배
98,6.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,2,0,3,0,0,0,0,0,0,36,97.0,0,0,0.0,0,0,36,97.3,11,91.7,17,100.0,8,100.0,7,87.5,29,100.0,0,0.0,0,0.0,0,0,0,1,0,0,21,양한빈
97,8.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,3,3,0,6,0,0,0,0,0,0,24,69.0,0,0,0.0,0,0,24,70.6,11,50.0,9,100.0,4,100.0,18,62.1,6,100.0,0,0.0,0,0.0,0,0,0,1,0,1,21,김동헌
97,6.6,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,0,0,15,88.0,0,0,0.0,0,0,15,88.2,4,66.7,6,100.0,5,100.0,8,80.0,7,100.0,0,0.0,0,0.0,0,0,0,1,0,0,25,김정호
97,6.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,6,0,3,0,0,0,0,0,0,11,46.0,0,0,0.0,0,0,11,45.8,8,40.0,2,66.7,1,100.0,7,35.0,4,100.0,0,0.0,0,0.0,0,0,0,1,0,0,1,유상훈
98,7.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,7,0,1,0,0,0,0,0,0,41,79.0,0,0,0.0,0,0,41,78.8,3,21.4,20,100.0,18,100.0,11,50.0,30,100.0,0,0.0,0,0.0,0,0,0,1,0,1,21,조현우
98,5.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,3,0,2,0,0,0,0,0,0,13,81.0,0,0,0.0,0,0,11,78.6,4,57.1,6,100.0,3,100.0,9,75.0,4,100.0,0,0.0,0,0.0,0,0,0,1,0,0,1,김동준
96,6.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,2,4,0,0,0,0,0,0,0,0,26,79.0,0,0,0.0,0,0,26,78.8,7,50.0,16,100.0,3,100.0,9,56.2,17,100.0,0,0.0,0,0.0,0,0,0,1,0,0,1,최필수
96,7.2,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,5,0,1,0,0,0,1,0,0,11,41.0,0,0,0.0,0,0,11,40.7,4,20.0,3,100.0,4,100.0,7,30.4,4,100.0,0,0.0,0,0.0,0,0,0,1,0,1,1,김동준
94,6.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,5,0,2,0,0,0,0,0,0,25,78.0,0,0,0.0,0,0,25,78.1,6,46.2,10,100.0,9,100.0,19,73.1,6,100.0,0,0.0,0,0.0,0,0,0,1,0,0,25,구성윤
96,7.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,4,0,3,0,0,0,1,0,0,16,62.0,0,0,0.0,0,0,16,61.5,4,28.6,9,100.0,3,100.0,10,50.0,6,100.0,0,0.0,0,0.0,0,0,0,1,0,1,31,송범근
96,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,0,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,18,100.0,0,0,0.0,0,0,17,100.0,4,100.0,6,100.0,8,100.0,12,100.0,6,100.0,0,0.0,0,0.0,0,0,0,1,0,0,31,송범근
94,7.8,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,0,0.0,0,0.0,1,100.0,0,3,0,1,0,0,0,0,0,0,12,48.0,0,0,0.0,0,0,12,48.0,6,31.6,2,100.0,4,100.0,6,31.6,6,100.0,0,0.0,0,0.0,0,0,0,1,0,1,21,오승훈
