출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
94,7.8,1,0,4,2,0,2,4,0,0,0,0,0,0,0.0,1,2,50.0,3,75.0,1,20.0,0,1,0,4,6,0,3,2,0,0,20,83.0,2,13,86.7,0,0,2,66.7,2,66.7,5,100.0,13,81.2,5,100.0,2,50.0,13,86.7,0,0.0,1,0,0,0,1,1,11,엄원상
88,7.6,1,0,2,1,0,1,1,1,0,1,6,0,0,0.0,1,0,0.0,1,100.0,0,0.0,0,3,1,3,1,0,2,0,1,0,75,97.0,3,19,90.5,0,0,8,100.0,1,100.0,29,100.0,45,95.7,26,92.9,36,100.0,13,100.0,4,50.0,0,0,0,0,1,1,24,이규성
83,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,100.0,0,0.0,0,0.0,1,0,4,7,0,1,1,2,0,0,14,74.0,0,3,75.0,0,0,2,50.0,0,0.0,6,66.7,8,80.0,3,42.9,7,87.5,4,100.0,0,0.0,0,0,0,0,1,0,30,류승우
68,6.4,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0,0,0.0,0,0.0,2,50.0,0,1,0,0,2,2,0,1,0,0,10,56.0,0,8,72.7,0,0,1,50.0,0,0.0,1,33.3,9,60.0,2,28.6,2,50.0,6,85.7,0,0.0,0,0,0,0,1,0,5,마나부
95,7.4,1,0,1,1,0,0,1,0,0,0,4,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,9,1,0,2,0,0,0,58,95.0,2,17,100.0,0,0,3,100.0,6,85.7,16,88.9,36,100.0,12,80.0,25,100.0,21,100.0,0,0.0,2,0,0,0,1,1,97,김진규
95,7.0,0,0,1,0,0,1,0,1,0,0,0,10,1,50.0,0,0,0.0,0,0.0,1,50.0,3,2,2,5,4,0,0,0,0,0,59,98.0,0,22,100.0,0,0,5,100.0,0,0.0,8,100.0,51,98.1,8,100.0,23,95.8,28,100.0,0,0.0,0,0,0,0,1,1,95,김문환
95,7.0,0,0,1,0,0,1,0,1,0,3,0,0,0,0.0,0,1,100.0,4,66.7,0,0.0,3,7,2,7,3,0,3,0,0,0,83,93.0,0,7,100.0,0,0,12,100.0,10,100.0,28,96.6,45,90.0,22,81.5,34,97.1,27,100.0,0,0.0,1,0,0,0,1,1,8,백승호
95,6.2,0,0,1,0,1,0,0,1,1,0,0,8,0,0.0,1,0,0.0,3,100.0,1,50.0,6,3,0,4,1,1,1,1,1,0,14,56.0,0,1,50.0,0,0,6,75.0,0,0.0,4,40.0,10,71.4,10,52.6,4,80.0,0,0.0,0,0.0,0,0,0,0,1,0,11,김태환
73,6.4,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0,1,0,0.0,0,0.0,1,100.0,1,1,2,4,1,0,3,0,0,0,18,67.0,0,1,50.0,0,0,4,80.0,0,0.0,5,62.5,13,72.2,4,30.8,7,100.0,7,100.0,0,0.0,0,0,0,0,1,0,88,유제호
98,7.2,0,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,1,33.3,0,0.0,2,6,0,7,3,2,1,1,0,0,31,86.0,2,7,87.5,0,0,5,100.0,2,100.0,9,90.0,20,83.3,9,64.3,15,100.0,7,100.0,1,100.0,0,0,0,0,1,1,4,서민우
96,8.0,1,1,1,1,0,0,1,0,0,4,3,1,0,0.0,1,1,25.0,1,25.0,2,100.0,2,0,2,5,1,1,2,3,0,0,24,89.0,1,9,90.0,0,0,0,0.0,2,100.0,8,88.9,14,87.5,7,77.8,6,85.7,11,100.0,1,11.1,0,0,0,0,1,1,25,니실라
96,6.6,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0,5,83.3,1,33.3,2,40.0,1,3,4,11,2,0,5,2,0,0,29,88.0,1,8,88.9,0,0,5,83.3,2,66.7,8,88.9,19,90.5,5,55.6,16,100.0,8,100.0,1,50.0,0,0,0,0,1,0,36,김희승
